127.0.0.1 - - [28/Apr/2018:09:12:02 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:12:05 +0800] "GET /dl_projects/pages/admin/login.jsp HTTP/1.1" 200 3588
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:12:06 +0800] "GET /dl_projects/h-ui/static/h-ui.admin/css/style.css HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:12:06 +0800] "GET /dl_projects/h-ui/static/h-ui.admin/css/H-ui.login.css HTTP/1.1" 200 1957
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:12:06 +0800] "GET /dl_projects/h-ui/lib/Hui-iconfont/1.0.8/iconfont.css HTTP/1.1" 200 16919
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:12:06 +0800] "GET /dl_projects/h-ui/static/h-ui/css/H-ui.min.css HTTP/1.1" 200 152198
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:12:06 +0800] "GET /dl_projects/h-ui/lib/jquery/1.9.1/jquery.min.js HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:12:06 +0800] "GET /dl_projects/h-ui/static/h-ui/js/H-ui.min.js HTTP/1.1" 200 182464
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:12:06 +0800] "GET /dl_projects/h-ui/static/h-ui.admin/images/admin-loginform-bg.png HTTP/1.1" 200 3783
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:12:06 +0800] "GET /dl_projects/h-ui/static/h-ui.admin/images/admin-login-bg.jpg HTTP/1.1" 200 54018
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:12:06 +0800] "GET /dl_projects/h-ui/lib/Hui-iconfont/1.0.8/iconfont.eot? HTTP/1.1" 200 134724
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:12:08 +0800] "GET /dl_projects/validate.code HTTP/1.1" 200 3711
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:12:22 +0800] "GET /dl_projects/pages/admin/login.jsp HTTP/1.1" 200 3588
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:12:22 +0800] "GET /dl_projects/h-ui/static/h-ui.admin/css/style.css HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:12:22 +0800] "GET /dl_projects/h-ui/static/h-ui.admin/css/H-ui.login.css HTTP/1.1" 200 1957
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:12:22 +0800] "GET /dl_projects/h-ui/lib/Hui-iconfont/1.0.8/iconfont.css HTTP/1.1" 200 16919
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:12:22 +0800] "GET /dl_projects/h-ui/static/h-ui/css/H-ui.min.css HTTP/1.1" 200 152198
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:12:22 +0800] "GET /dl_projects/h-ui/lib/jquery/1.9.1/jquery.min.js HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:12:22 +0800] "GET /dl_projects/h-ui/static/h-ui/js/H-ui.min.js HTTP/1.1" 200 182464
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:12:22 +0800] "GET /dl_projects/validate.code HTTP/1.1" 200 3772
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:12:22 +0800] "GET /dl_projects/h-ui/static/h-ui.admin/images/admin-loginform-bg.png HTTP/1.1" 200 3783
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:12:22 +0800] "GET /dl_projects/h-ui/static/h-ui.admin/images/admin-login-bg.jpg HTTP/1.1" 200 54018
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:12:22 +0800] "GET /dl_projects/h-ui/lib/Hui-iconfont/1.0.8/iconfont.woff HTTP/1.1" 200 80688
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:12:23 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:14:31 +0800] "POST /dl_projects/loginUsers/login HTTP/1.1" 200 3642
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:14:32 +0800] "GET /dl_projects/validate.code HTTP/1.1" 200 3824
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:15:42 +0800] "POST /dl_projects/loginUsers/login HTTP/1.1" 200 3588
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:15:42 +0800] "POST /dl_projects/loginUsers/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:15:42 +0800] "POST /dl_projects/loginUsers/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:15:42 +0800] "GET /dl_projects/validate.code HTTP/1.1" 200 3796
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:19:49 +0800] "POST /dl_projects/loginUsers/login HTTP/1.1" 200 3609
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:19:49 +0800] "GET /dl_projects/h-ui/static/h-ui.admin/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:19:49 +0800] "GET /dl_projects/h-ui/static/h-ui.admin/css/H-ui.login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:19:49 +0800] "GET /dl_projects/h-ui/lib/Hui-iconfont/1.0.8/iconfont.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:19:49 +0800] "GET /dl_projects/h-ui/static/h-ui/css/H-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:19:49 +0800] "GET /dl_projects/h-ui/lib/jquery/1.9.1/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:19:49 +0800] "GET /dl_projects/h-ui/static/h-ui/js/H-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:19:49 +0800] "GET /dl_projects/validate.code HTTP/1.1" 200 3626
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:19:49 +0800] "GET /dl_projects/h-ui/static/h-ui.admin/images/admin-loginform-bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:19:49 +0800] "GET /dl_projects/h-ui/lib/Hui-iconfont/1.0.8/iconfont.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2018:09:19:49 +0800] "GET /dl_projects/h-ui/static/h-ui.admin/images/admin-login-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2018:10:38:40 +0800] "GET /dl_projects/loginUsers/login HTTP/1.1" 400 1113
