127.0.0.1 - - [12/May/2018:09:21:56 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [12/May/2018:09:21:58 +0800] "GET /HR/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2018:09:21:58 +0800] "GET /HR/employee/login.do HTTP/1.1" 200 1602
0:0:0:0:0:0:0:1 - - [12/May/2018:09:21:58 +0800] "GET /HR/css/animate.css HTTP/1.1" 200 65565
0:0:0:0:0:0:0:1 - - [12/May/2018:09:21:58 +0800] "GET /HR/css/login.css HTTP/1.1" 200 2011
0:0:0:0:0:0:0:1 - - [12/May/2018:09:21:58 +0800] "GET /HR/css/bootstrap.min.css HTTP/1.1" 200 121261
0:0:0:0:0:0:0:1 - - [12/May/2018:09:21:58 +0800] "GET /HR/css/font-awesome.css?v=4.4.0 HTTP/1.1" 200 32318
0:0:0:0:0:0:0:1 - - [12/May/2018:09:21:58 +0800] "GET /HR/css/style.css HTTP/1.1" 200 137491
0:0:0:0:0:0:0:1 - - [12/May/2018:09:21:58 +0800] "GET /HR/img/hrlog.png HTTP/1.1" 200 1362348
0:0:0:0:0:0:0:1 - - [12/May/2018:09:21:58 +0800] "GET /HR/img/user.png HTTP/1.1" 200 1106
0:0:0:0:0:0:0:1 - - [12/May/2018:09:21:58 +0800] "GET /HR/img/locked.png HTTP/1.1" 200 1132
0:0:0:0:0:0:0:1 - - [12/May/2018:09:22:30 +0800] "GET /HR/employee/login.do HTTP/1.1" 200 1602
0:0:0:0:0:0:0:1 - - [12/May/2018:09:22:31 +0800] "GET /HR/css/bootstrap.min.css HTTP/1.1" 200 121261
0:0:0:0:0:0:0:1 - - [12/May/2018:09:22:31 +0800] "GET /HR/css/animate.css HTTP/1.1" 200 65565
0:0:0:0:0:0:0:1 - - [12/May/2018:09:22:31 +0800] "GET /HR/css/login.css HTTP/1.1" 200 2011
0:0:0:0:0:0:0:1 - - [12/May/2018:09:22:31 +0800] "GET /HR/css/font-awesome.css?v=4.4.0 HTTP/1.1" 200 32318
0:0:0:0:0:0:0:1 - - [12/May/2018:09:22:31 +0800] "GET /HR/css/style.css HTTP/1.1" 200 137491
0:0:0:0:0:0:0:1 - - [12/May/2018:09:22:31 +0800] "GET /HR/img/hrlog.png HTTP/1.1" 200 1362348
0:0:0:0:0:0:0:1 - - [12/May/2018:09:22:31 +0800] "GET /HR/img/locked.png HTTP/1.1" 200 1132
0:0:0:0:0:0:0:1 - - [12/May/2018:09:22:31 +0800] "GET /HR/img/user.png HTTP/1.1" 200 1106
0:0:0:0:0:0:0:1 - - [12/May/2018:09:22:31 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [12/May/2018:09:22:36 +0800] "GET /HR/employee/login.do HTTP/1.1" 200 1602
0:0:0:0:0:0:0:1 - - [12/May/2018:09:22:36 +0800] "GET /HR/employee/login.do HTTP/1.1" 200 1602
0:0:0:0:0:0:0:1 - - [12/May/2018:09:22:36 +0800] "GET /HR/employee/login.do HTTP/1.1" 200 1602
0:0:0:0:0:0:0:1 - - [12/May/2018:09:22:36 +0800] "GET /HR/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:09:22:36 +0800] "GET /HR/css/font-awesome.css?v=4.4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:09:22:36 +0800] "GET /HR/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:09:22:36 +0800] "GET /HR/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:09:22:36 +0800] "GET /HR/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:09:22:36 +0800] "GET /HR/img/hrlog.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:09:22:36 +0800] "GET /HR/img/locked.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:09:22:36 +0800] "GET /HR/img/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2018:09:33:57 +0800] "GET /HR/employee/login.do HTTP/1.1" 200 1602
0:0:0:0:0:0:0:1 - - [12/May/2018:09:34:03 +0800] "GET /HR/employee/login.do HTTP/1.1" 200 1602
